../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
Processing ../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 21-21
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 22-22
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 83-83
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 84-84
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 85-85
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 86-86
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 87-87
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 184-184
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 222-222
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 102-102
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 103-103
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 164-164
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 167-167
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 171-171
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 174-174
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 180-180
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 447-447
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 448-448
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 450-450
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 181-181
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 183-183
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 184-184
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 189-189
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 190-190
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 304-304
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 124-124
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 129-129
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 130-130
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 131-131
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 132-132
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 133-133
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 133-136
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 137-137
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 305-305
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 150-150
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 152-152
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 153-153
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 156-156
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 160-160
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 161-161
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 162-162
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 163-163
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 164-164
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 166-166
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 168-168
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 172-172
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 173-173
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 174-174
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 176-176
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 179-179
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 182-182
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 186-186
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 188-188
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 189-189
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 194-194
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 203-203
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 204-204
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 306-306
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 307-307
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 308-308
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 309-309
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 224-224
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 618-618
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 1298-1298
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 1311-1311
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 1374-1374
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 1532-1532
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 1836-1836
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 1920-1920
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 2001-2001
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 2207-2207
/home/ubuntu/debloating_templates/hotcrp/src/paperoption.php: 247-247
